Summons Number,Plate ID,Registration State,Violation Code
100,GLS6003,NY,53
101,HXM7362,NY,36
102,GTR7949,NY,68
103,HH1842,NC,48
104,HDG7076,NY,67
105,GER9006,NY,17
106,HLC3177,NY,61
107,HZN6473,NY,40
108,HPC9135,NY,74
111,GTR7949,NY,24
114,GER9006,NY,47
125,HZN6473,NY,34
109,GLS6003,NY,45
115,HLC3177,NY,62
117,HPC9135,NY,55
119,HXM7362,NY,9
120,GTR7949,NY,7
113,HDG7076,NY,33
121,HH1842,NC,52
123,GER9006,NY,76
118,GLS6003,NY,2
124,HLC3177,NY,26
112,HH1842,NC,20
126,HPC9135,NY,32
110,HXM7362,NY,46
122,HDG7076,NY,5
116,HZN6473,NY,18
