Summons Number,Plate ID,Registration State,Violation Code
100,GLS6001,NY,14
101,HXM7361,NY,46
102,GTR7949,NY,24
103,HH1842,NC,24
104,HDG7076,NY,17
105,GER9006,NY,17
106,HLC3177,NY,21
107,HZN6473,NY,21
108,HPC9135,NY,21
109,HZJ8359,NY,21
110,GVP4327,NY,17
111,GZY4531,NY,21
112,HYU6793,NY,21
113,HRH2511,NY,17
114,HJH1549,NY,17
115,HNN8840,NY,19
116,HNN8840,NY,71
117,GSV1510,NY,20
118,M38HEN,NJ,17
119,HAA9865,NY,17
120,HCD2934,NY,14
121,JBJ6180,NY,20
122,HRH8223,NY,14
123,HFK7999,NY,14
124,GJE5905,NY,70
125,HYJ6972,NY,20
126,GFW4703,NY,20
127,GTH7887,NY,71
128,HVK3291,NY,17
129,KFZ83881,TX,17
130,HPG9768,NY,17
131,HNG5539,NY,17
132,GPB6561,NY,17
133,HFS4980,NY,17
134,HPU8534,NY,17
135,GCE3421,NY,17
136,HLE7955,NY,19
137,GRN1157,NY,19
138,L70HXF,NJ,14
139,HSJ3289,NY,20
140,HWX4114,NY,20
141,HHF4103,NY,40
142,GFC5457,NY,46
143,HLT3480,NY,17
144,HXY3957,NY,46
145,HTB5241,NY,46
146,GWB6937,NY,46
147,GHJ8977,NY,20
148,M60CPP,NJ,20
149,HRL9440,NY,14
150,HYZ87073,NY,61
151,HSL8854,NY,21
152,HXL4942,NY,14
153,HYA1904,NY,14
154,HRD8428,NY,45
155,GMU1799,NY,20
156,HGX5834,NY,37
157,HBS6543,NY,38
158,HME7719,NY,46
159,HFP6632,NY,98
160,HES1605,NY,98
161,HKB6948,NY,21
162,GDP3146,NY,21
163,HDZ4437,NY,46
164,GTA7191,NY,14
165,GSR9190,NY,20
166,HVW3690,NY,46
167,HUS1849,NY,24
168,HLC7147,NY,24
169,GZE7158,NY,20
170,G96GND,NJ,24
171,HHE20267,NY,20
172,HMJ5171,NY,20
173,HCX4578,NY,63
174,HVZ1177,NY,63
175,GUP8962,NY,63
176,HBY1416,NY,27
177,HAB1872,NY,19
178,GVT3901,NY,14
179,HXR9294,NY,21
180,GWK4037,NY,50
181,GTC8645,NY,46
182,HXA8314,NY,19
183,HRS4333,NY,62
184,HXM5690,NY,62
185,HJV7980,NY,40
186,HBJ5980,NY,20
187,HXL2616,NY,98
188,HME1619,NY,63
189,GYP2207,NY,20
190,HBX3285,NY,98
191,HLB4631,NY,20
192,HWX2501,NY,20
193,GVD4223,NY,51
194,GGA2358,NY,20
195,HWH4814,NY,62
196,HZE2516,NY,20
197,JBG1460,NY,20
198,HZE1930,NY,62
199,JAD8823,NY,62
200,HBY3285,NY,20
201,HWK1809,NY,20
202,HFE5074,NY,20
203,HTZ9162,NY,62
204,HTZ9162,NY,70
205,GZZ2143,NY,62
206,GEK9923,NY,51
207,KCW6347,PA,62
208,GTS9266,NY,20
209,HES5570,NY,62
210,KJN1267,PA,62
211,HTK8804,NY,62
212,HWX5291,NY,62
213,JBH5119,NY,62
214,HKX7970,NY,62
215,GYA9056,NY,62
216,HGU4667,NY,62
217,GWK6533,NY,62
218,HCB3777,NY,62
219,JAJ2217,NY,71
220,HWU2742,NY,20
221,HJP7684,NY,20
222,HGR3359,NY,21
223,HGR3359,NY,70
224,KCP3983,PA,16
225,HXH7992,NY,16
226,HCP6618,NY,20
227,HTH4887,NY,20
228,HUD7255,NY,20
229,HDR9831,NY,51
230,JSCHULZ,NY,62
231,HNR5010,NY,20
232,GEW2876,NY,14
233,HTJ3132,NY,63
234,GHF9035,NY,63
235,HNE2571,NY,62
236,HYY5497,NY,62
237,HRR5242,NY,20
238,GRN7402,NY,63
239,GXL9503,NY,63
240,MRKBUS,NY,20
241,HDT3888,NY,21
242,GWJ6766,NY,21
243,HVA4924,NY,17
244,GZT4924,NY,17
245,HDC5325,NY,17
246,HKZ2817,NY,46
247,HVD5821,NY,48
248,JZW5744,PA,51
249,HWC4862,NY,17
250,GWC5661,NY,17
251,GYR2609,NY,19
252,HYS2500,NY,17
253,HZL6583,NY,14
254,GCR1623,NY,19
255,HUE3978,NY,14
256,HXF9146,NY,20
257,HYG6059,NY,71
258,HYV7600,NY,20
259,HWS8517,NY,20
260,HWZ8968,NY,4
261,HVK4256,NY,98
262,HXE1593,NY,40
263,H84CDR,NJ,46
264,GNB8711,NY,21
265,HFF6870,NY,21
266,JAB1118,NY,21
267,GM43975,NY,21
268,HYZ9193,NY,21
269,HWZ7097,NY,21
270,HRE4027,NY,21
271,GRJ7537,NY,21
272,HYU5042,NY,14
273,KSD3923,PA,14
274,HVX2787,NY,20
275,GKH7680,NY,98
276,HNV5897,NY,98
277,GYP7711,NY,17
278,HTM9774,NY,17
279,HSB2909,NY,98
280,HDK4125,NY,98
281,HFF7262,NY,98
282,HLT9226,NY,46
283,GNR6737,NY,46
284,JBV4366,PA,98
285,JAV7225,NY,40
286,HZS5891,NY,70
287,HFF3200,NY,14
288,HCR4167,NY,41
289,HYA1921,NY,14
290,HNU3046,NY,41
291,HUY7242,NY,19
292,HVN3696,NY,98
293,HXU7972,NY,40
294,GLV7939,NY,40
295,JJX1441,PA,46
296,MNB665,SC,17
297,HBA6731,NY,17
298,HAM4713,NY,17
299,JBC2492,NY,17
300,HUY7242,NY,19
301,HGF1106,NY,19
302,HGZ9678,NY,19
303,HGZ9678,NY,70
304,HUY7242,NY,19
305,HFH1545,NY,19
306,MNB665,SC,17
307,MNB665,SC,17
308,GJA7603,NY,98
309,M65KBK,NJ,17
310,HKV4459,NY,14
311,HLG1452,NY,14
312,HXT9014,NY,46
313,GMZ8373,NY,40
314,HAM1217,NY,40
315,HNE1343,NY,20
316,GKT9676,NY,20
317,HOM8741,NY,40
318,HCT1676,NY,19
319,HXH3932SUB,NY,20
320,KSK2420,PA,46
321,GXD9051,NY,24
322,HHS2150,NY,98
323,GSA2291,NY,98
324,KLH3677,PA,98
325,HNJ4968,NY,40
326,HYR4737,NY,14
327,HAC8609,NY,14
328,GEY7475,NY,71
329,HXW9599,NY,68
330,HVV1896,NY,40
331,JAG1318,NY,71
332,HCM6713,NY,71
333,KDM4675,PA,98
334,HZM8266,NY,98
335,HDT2143,NY,21
336,HPJ4209,NY,21
337,GTB7815,NY,21
338,HRD5815,NY,74
339,HVG7485,NY,14
340,HYA2851,NY,14
341,GXH2530,NY,14
342,HLP8547,NY,14
343,HTU3039,NY,20
344,KARANI,NY,14
345,HGL1020,NY,14
346,HTN1432,NY,14
347,HSU5500,NY,14
348,HSS3645,NY,14
349,HYZ4068,NY,14
350,HDU9578,NY,14
351,J97HCU,NJ,14
352,GPL3867,NY,27
353,GVN0758,PA,74
354,GVD5879,NY,14
355,HPL7999,NY,21
356,HSB937,SC,99
357,GMU7321,NY,70
358,HDS8205,NY,14
359,HDT2048,NY,14
360,LEX13,NY,14
361,GGF9960,NY,71
362,HXL8194,NY,20
363,HKT2568,NY,67
364,JAE7004,NY,67
365,HZG6537,NY,70
366,HMT1587,NY,63
367,HMR6243,NY,71
368,HFZ9411,NY,70
369,HXJ7J22,NY,40
370,HYK7678,NY,18
371,GXV3858,NY,98
372,GTL4384,NY,40
373,HVS7107,NY,48
374,GFT4416,NY,98
375,KVN5953,TX,46
376,HXH5276,NY,46
377,HZJ9974,NY,46
378,HAV1477,NY,40
379,HUV2634,NY,67
380,HTD3411,NY,45
381,M635209,NJ,70
382,M635209,NJ,40
383,HGR7565,NY,40
384,HTP9311,NY,14
385,HGL4084,NY,27
386,GYT3098,NY,40
387,HWU9071,NY,17
388,GRG4650,NY,17
389,HTP3072,NY,19
390,GSR4533,NY,14
391,HYZ5872,NY,14
392,HRF4791,NY,14
393,GTP8045,NY,19
394,HXA2990,NY,19
395,HRS8657,NY,46
396,HGR1481,NY,46
397,JAV3870,NY,40
398,KBR0271,PA,19
399,GUR5868,NY,19
400,HXK5853,NY,46
401,JBD1494,NY,46
402,MSF8870,NY,19
403,HTZ4556,NY,21
404,HDY3767,NY,21
405,HDY7131,NY,21
406,HAL3184,NY,21
407,GNY2241,NY,21
408,JWV3687,PA,21
409,HZM2365,NY,20
410,HTJ1292,NY,14
411,HTJ2732,NY,14
412,HGV9461,NY,20
413,GHC370,MA,98
414,JAG1216,NY,41
415,G31613,NY,62
416,HNH5857,NY,20
417,HXH5863,NY,40
418,GYV8753,NY,40
419,HYY6518,NY,40
420,HYA4769,NY,42
421,HTJ2235,NY,14
422,HGR3913,NY,17
423,KRK3392,PA,17
424,GKD3930,NY,17
425,GAR1875,NY,17
426,GEL2549,NY,17
427,JAD8976,NY,17
428,HWB4521,NY,17
429,HXY9919,NY,17
430,HJ26130,NY,17
431,HBU1147,NY,17
432,GJB5693,NY,17
433,HFF1324,NY,17
434,GJB5693,NY,17
435,HPK1031,NY,17
436,HVK3384,NY,17
437,GGZ2456,NY,17
438,GCF6761,NY,17
439,HTU2559,NY,17
440,M60JYK,NJ,17
441,HHL876G,NY,17
442,GEZ1006,NY,17
443,GPP8671,NY,17
444,HDD3516,NY,17
445,GDX3069,NY,17
446,GCG2049,NY,17
447,JKL683,SC,17
448,GNB7946,NY,17
449,HPB6258,NY,98
450,HUZ5638,NY,17
451,HFS8840,NY,41
452,HWK1003,NY,17
453,HMC6044,NY,17
454,HUV8141,NY,17
455,GUV9978,NY,17
456,GCW2392,NY,17
457,HWS3190,NY,17
458,HZT7219,NY,17
459,HVY9612,NY,17
460,HZP3655,NY,17
461,HVB6571,NY,41
462,HJV2134,NY,17
463,HKH5409,NY,17
464,HEX7588,NY,17
465,HHY2419,NY,98
466,KAY95,NY,17
467,GPN5150,NY,17
468,JSD6581,PA,17
469,HXV7761,NY,17
470,HWG3977,NY,17
471,GWT6089,NY,17
472,KSJ6226,PA,17
473,HBR298,NY,17
474,GCE2154,NY,17
475,HPB9962,NY,17
476,GVB4727,NY,17
477,HKE4348,NY,17
478,GST6649,NY,17
479,HRJ2708,NY,17
480,HXZ3596,NY,17
481,GTW8504,NY,17
482,HEF4119,NY,17
483,HMM9347,NY,17
484,GNT2127,NY,17
485,GTW9631,NY,98
486,HKN6175,NY,46
487,HUC7685,NY,98
488,HSF1226,NY,46
489,GUV9628,NY,98
490,HUL8751,NY,14
491,KY947,VT,51
492,HLF4053,NY,14
493,HTZ4485,NY,14
494,HSZ4736,NY,56
495,IDF0793,MD,14
496,JSQW06,FL,40
497,HDW3565,NY,62
498,HUR1731,NY,71
499,GCR4092,NY,63
500,HUR1731,NY,71
501,GRE8850,NY,51
502,KRR2832,PA,20
503,HFV1075,NY,20
504,HUS5658,NY,20
505,HGA3616,OH,39
506,GWY7527,NY,39
507,GV32A,NY,20
508,GWNK51,FL,23
509,G90JAZ,NY,24
510,HHK4574,NY,70
511,HHK4574,NY,24
512,HRB9468,NY,62
513,GEG8871,NY,24
514,GNG4245,NY,62
515,KLYN1,NY,24
516,KMW7383,PA,24
517,HXD5410,NY,24
518,HJN6699,NY,24
519,GGN2904,NY,24
520,HUC4270,NY,24
521,HSK1080,NY,24
522,HXK2335,NY,20
523,GSC2657,NY,71
524,GFC8389,NY,24
525,HVK9527,NY,63
526,HHF3878,NY,24
527,GEE2689,NY,24
528,HYB5494,NY,24
529,HUE4872,NY,20
530,GWF2113,NY,67
531,GYD3657,NY,24
532,GST8706,NY,24
533,HSE5430,NY,24
534,GSG8729,NY,24
535,KNG6686,PA,24
536,HCG8474,NY,71
537,HYB5494,NY,74
538,HI5NY,NY,24
539,HDS6897,NY,24
